,City Name,Cloudiness,Country,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Ponta do Sol,28,BR,62,-20.63,-46.0,292.257,3.27
1,Pisco,90,PE,82,-13.71,-76.2,291.15,2.1
2,Avarua,92,CK,73,-21.21,-159.78,297.15,2.6
3,New Norfolk,75,AU,58,-42.78,147.06,288.71,5.1
4,Bambous Virieux,75,MU,88,-20.34,57.76,295.15,5.1
5,Ushuaia,40,AR,92,-54.81,-68.31,271.15,7.2
6,Talnakh,0,RU,71,69.49,88.39,283.15,6.0
7,Victoria,75,BN,83,5.28,115.24,300.15,1.0
8,Barrow,100,AR,59,-38.31,-60.23,282.487,7.2
9,Lebu,40,ET,93,8.96,38.73,287.15,2.1
10,Rikitea,100,PF,83,-23.12,-134.97,297.247,7.25
11,Hualmay,15,PE,86,-11.1,-77.61,290.407,7.52
12,Hermanus,93,ZA,96,-34.42,19.24,284.26,4.92
13,San Ramon de la Nueva Oran,52,AR,73,-23.13,-64.33,284.107,1.46
14,Sao Bernardo,37,BR,95,-3.36,-42.42,296.377,1.92
15,Sandviken,0,SE,59,60.62,16.77,284.82,1.79
16,Touros,75,BR,94,-5.2,-35.46,297.15,2.1
17,Quatre Cocos,75,MU,88,-20.21,57.76,295.15,5.1
18,Grand Gaube,75,MU,88,-20.01,57.66,295.15,5.1
19,Khatanga,80,RU,62,71.98,102.47,289.437,1.02
20,Fare,36,PF,82,-16.7,-151.02,298.987,5.88
21,Geraldton,75,CA,43,49.72,-86.95,296.15,2.6
22,Surt,0,LY,82,31.21,16.59,298.297,3.26
23,Kaohsiung,75,TW,79,22.62,120.31,304.15,1.5
24,Castro,0,CL,80,-42.48,-73.76,275.15,3.6
25,Fortuna,1,US,77,40.6,-124.16,290.37,5.1
26,Saskylakh,100,RU,37,71.97,114.09,286.977,4.11
27,Chukhloma,46,RU,94,58.76,42.68,280.747,3.08
28,Atuona,8,PF,73,-9.8,-139.03,300.337,5.99
29,Sestri Levante,0,IT,65,44.27,9.41,300.15,1.5
30,Yumen,20,CN,29,40.29,97.04,293.727,5.06
31,Saint-Philippe,20,CA,53,45.36,-73.48,297.59,4.6
